timestamp(ms),RawRoll,FilteredRoll,RawPitch,FilteredPitch,
"1763781616.604",,,,"-4.3",
"1763781616.609","-0.32",,,,
"1763781616.611",,"-1.88",,,
"1763781616.612",,,"-4.84",,
"1763781616.614",,,,"-4.3",
"1763781616.618","-0.38",,,,
"1763781616.621",,"-1.88","-4.63",,
"1763781616.623",,,,"-4.3",
"1763781616.628","-0.43",,,,
"1763781616.63",,"-1.88","-4.59",,
"1763781616.632",,,,"-4.3",
"1763781616.637","-0.42",,,,
"1763781616.64",,"-1.88","-4.69",,
"1763781616.642",,,,"-4.3",
"1763781616.647","-0.36",,,,
"1763781616.649",,"-1.88","-4.72",,
"1763781616.651",,,,"-4.3",
"1763781616.656","-0.39",,,,
"1763781616.659",,"-1.88","-4.53",,
"1763781616.661",,,,"-4.3",
"1763781616.665","-0.35",,,,
"1763781616.668",,"-1.88","-4.57",,
"1763781616.67",,,,"-4.3",
"1763781616.675","-0.53",,,,
"1763781616.677",,"-1.88","-4.56",,
"1763781616.68",,,,"-4.3",
"1763781616.684","-0.38",,,,
"1763781616.687",,"-1.88","-4.65",,
"1763781616.689",,,,"-4.3",
"1763781616.693","-0.42",,,,
"1763781616.696",,"-1.88","-4.46",,
"1763781616.698",,,,"-4.3",
"1763781616.703","-0.38",,,,
"1763781616.706",,"-1.88","-4.61",,
"1763781616.708",,,,"-4.3",
"1763781616.712","-0.39",,,,
"1763781616.715",,"-1.88","-4.48",,
"1763781616.717",,,,"-4.3",
"1763781616.722","-0.32",,,,
"1763781616.724",,"-1.88","-4.55",,
"1763781616.727",,,,"-4.3",
"1763781616.731","-0.43",,,,
"1763781616.734",,"-1.88","-4.46",,
"1763781616.736",,,,"-4.3",
"1763781616.741","-0.43",,,,
"1763781616.743",,"-1.88","-4.68",,
"1763781616.745",,,,"-4.3",
"1763781616.75","-0.46",,,,
"1763781616.753",,"-1.88","-4.51",,
"1763781616.755",,,,"-4.3",
"1763781616.759","-0.43",,,,
"1763781616.762",,"-1.88","-4.71",,
"1763781616.765",,,,"-4.3",
"1763781616.769","-0.38",,,,
"1763781616.772",,"-1.88","-4.48",,
"1763781616.774",,,,"-4.3",
"1763781616.778","-0.39",,,,
"1763781616.781",,"-1.88","-4.65",,
"1763781616.783",,,,"-4.3",
"1763781616.788","-0.35",,,,
"1763781616.79",,"-1.88","-4.53",,
"1763781616.793",,,,"-4.3",
"1763781616.797","-0.32",,,,
"1763781616.8",,"-1.87","-4.7",,
"1763781616.802",,,,"-4.3",
"1763781616.807","-0.42",,,,
"1763781616.809",,"-1.87","-4.57",,
"1763781616.812",,,,"-4.3",
"1763781616.816","-0.38",,,,
"1763781616.819",,"-1.87","-4.6",,
"1763781616.821",,,,"-4.3",
"1763781616.825","-0.36",,,,
"1763781616.828",,"-1.87","-4.48",,
"1763781616.831",,,,"-4.3",
"1763781616.835","-0.49",,,,
"1763781616.838",,"-1.87","-4.65",,
"1763781616.84",,,,"-4.3",
"1763781616.844","-0.42",,,,
"1763781616.847",,"-1.87","-4.48",,
"1763781616.849",,,,"-4.3",
"1763781616.854","-0.36",,,,
"1763781616.856",,"-1.87",,,
"1763781616.857",,,"-4.67",,
"1763781616.859",,,,"-4.3",
"1763781616.863","-0.47",,,,
"1763781616.866",,"-1.87","-4.56",,
"1763781616.868",,,,"-4.3",
"1763781616.873","-0.38",,,,
"1763781616.875",,"-1.87","-4.65",,
"1763781616.878",,,,"-4.3",
"1763781616.882","-0.48",,,,
"1763781616.885",,"-1.88","-4.44",,
"1763781616.887",,,,"-4.3",
"1763781616.892","-0.39",,,,
"1763781616.894",,"-1.87","-4.52",,
"1763781616.897",,,,"-4.3",
"1763781616.901","-0.38",,,,
"1763781616.903",,"-1.87",,,
"1763781616.904",,,"-4.48",,
"1763781616.906",,,,"-4.3",
"1763781616.91","-0.45",,,,
"1763781616.913",,"-1.87","-4.74",,
"1763781616.915",,,,"-4.3",
"1763781616.92","-0.41",,,,
"1763781616.922",,"-1.87","-4.56",,
"1763781616.925",,,,"-4.3",
"1763781616.929","-0.42",,,,
"1763781616.932",,"-1.87","-4.73",,
"1763781616.934",,,,"-4.3",
"1763781616.939","-0.36",,,,
"1763781616.941",,"-1.87","-4.59",,
"1763781616.943",,,,"-4.3",
"1763781616.948","-0.39",,,,
"1763781616.951",,"-1.87","-4.64",,
"1763781616.953",,,,"-4.3",
"1763781616.957","-0.38",,,,
"1763781616.96",,"-1.87","-4.39",,
"1763781616.962",,,,"-4.3",
"1763781616.967","-0.34",,,,
"1763781616.97",,"-1.87","-4.6",,
"1763781616.972",,,,"-4.3",
"1763781616.976","-0.41",,,,
"1763781616.979",,"-1.87","-4.25",,
"1763781616.981",,,,"-4.29",
"1763781616.986","-0.38",,,,
"1763781616.988",,"-1.87","-4.5",,
"1763781616.991",,,,"-4.29",
"1763781616.995","-0.43",,,,
"1763781616.998",,"-1.87","-4.43",,
"1763781617",,,,"-4.29",
"1763781617.005","-0.43",,,,
"1763781617.007",,"-1.87","-4.72",,
"1763781617.009",,,,"-4.29",
"1763781617.014","-0.43",,,,
"1763781617.017",,"-1.87","-4.53",,
"1763781617.019",,,,"-4.29",
"1763781617.023","-0.53",,,,
"1763781617.026",,"-1.87","-4.74",,
"1763781617.028",,,,"-4.29",
"1763781617.033","-0.48",,,,
"1763781617.035",,"-1.88",,,
"1763781617.036",,,"-4.51",,
"1763781617.038",,,,"-4.29",
"1763781617.042","-0.57",,,,
"1763781617.045",,"-1.88","-4.66",,
"1763781617.047",,,,"-4.29",
"1763781617.052","-0.4",,,,
"1763781617.054",,"-1.88","-4.51",,
"1763781617.057",,,,"-4.29",
"1763781617.061","-0.4",,,,
"1763781617.064",,"-1.88","-4.57",,
"1763781617.066",,,,"-4.29",
"1763781617.07","-0.31",,,,
"1763781617.073",,"-1.88","-4.57",,
"1763781617.075",,,,"-4.29",
"1763781617.08","-0.46",,,,
"1763781617.083",,"-1.88","-4.8",,
"1763781617.085",,,,"-4.29",
"1763781617.089","-0.43",,,,
"1763781617.092",,"-1.88","-4.55",,
"1763781617.094",,,,"-4.29",
"1763781617.099","-0.49",,,,
"1763781617.101",,"-1.88","-4.77",,
"1763781617.104",,,,"-4.3",
"1763781617.108","-0.33",,,,
"1763781617.111",,"-1.88","-4.64",,
"1763781617.113",,,,"-4.3",
"1763781617.118","-0.24",,,,
"1763781617.12",,"-1.88","-4.61",,
"1763781617.123",,,,"-4.3",
"1763781617.127","-0.34",,,,
"1763781617.13",,"-1.87","-4.49",,
"1763781617.132",,,,"-4.29",
"1763781617.137","-0.46",,,,
"1763781617.139",,"-1.88","-4.62",,
"1763781617.141",,,,"-4.29",
"1763781617.146","-0.48",,,,
"1763781617.148",,"-1.88",,,
"1763781617.149",,,"-4.64",,
"1763781617.151",,,,"-4.3",
"1763781617.155","-0.48",,,,
"1763781617.158",,"-1.88","-4.73",,
"1763781617.16",,,,"-4.3",
"1763781617.165","-0.36",,,,
"1763781617.167",,"-1.88",,,
"1763781617.168",,,"-4.6",,
"1763781617.17",,,,"-4.3",
"1763781617.174","-0.31",,,,
"1763781617.177",,"-1.87","-4.65",,
